"","label","MainText"
"1","ham","Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply.."
"2","ham","What's up? Do you want me to come online? If you are free we can talk sometime�"
"3","ham","So u workin overtime nigpun?"
"4","ham","Also sir, i sent you an email about how to log into the usc payment portal. I.ll send you another message that should explain how things are back home. Have a great weekend."
"5","phishing","Please Stay At Home. To encourage the notion of staying at home. All tax-paying citizens are entitled to �305.96 or more emergency refund. smsg.io/fCVbD"
"6","phishing","BankOfAmerica Alert 137943. Please follow http://bit.do/cgjK-and re-activate"
"7","ham","Sorry dude. Dont know how i forgot. Even after Dan reminded me. Sorry. Hope you guys had fun."
"8","ham","I don't quite know what to do. I still can't get hold of anyone. I cud pick you up bout 7.30pm and we can see if they're in the pub?"
"9","ham","Ok lor. Anyway i thk we cant get tickets now cos like quite late already. U wan 2 go look 4 ur frens a not? Darren is wif them now..."
"10","ham","Wat r u doing now?"
"11","ham","Buy one egg for me da..please:)"
"12","ham","Is there a reason we've not spoken this year? Anyways have a great week and all the best in your exam"
"13","ham","Stop the story. I've told him i've returned it and he's saying i should not re order it."
"14","ham","No. I dont want to hear anything"
"15","ham","Waqt se pehle or naseeb se zyada kisi ko kuch nahi milta,Zindgi wo nahi he jo hum sochte hai Zindgi wo hai jo ham jeetey hai.........."
"16","ham","I'm e person who's doing e sms survey..."
"17","ham","Mm i had my food da from out"
"18","ham","4 tacos + 1 rajas burrito, right?"
"19","ham","House-Maid is the murderer, coz the man was murdered on  26th January.. "
"20","ham","Yes! How is a pretty lady like you single?"
"21","ham","(That said can you text him one more time?)"
"22","ham","I know she called me"
"23","ham","In sch but neva mind u eat 1st lor.."
"24","phishing","lyricalladie(21/F) is inviting you to be her friend. Reply YES-910 or NO-910. See her: www.SMS.ac/u/hmmross STOP? Send STOP FRND to 62468"
"25","ham","Jay says that you're a double-faggot"
"26","ham","Ok i thk i got it. Then u wan me 2 come now or wat?"
"27","phishing","UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403233"
"28","phishing","Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow"
"29","ham","Oh... Lk tt den we take e one tt ends at cine lor... Dun wan yogasana oso can..."
