MainText,Tokenized_Text
Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,"[7, 1234, 94, 15, 235, 2620, 2621, 1152, 1312, 3324, 2217, 30, 3325, 2218, 710, 173, 49]"
What's up? Do you want me to come online? If you are free we can talk sometime�,"[467, 46, 38, 3, 81, 15, 2, 77, 269, 34, 3, 20, 45, 28, 36, 286, 1081]"
So u workin overtime nigpun?,"[37, 11, 1428, 4902, 4903]"
"Also sir, i sent you an email about how to log into the usc payment portal. I.ll send you another message that should explain how things are back home. Have a great weekend.","[238, 452, 5, 216, 3, 98, 515, 94, 59, 2, 618, 336, 4, 3326, 211, 4904, 76, 84, 3, 395, 106, 26, 170, 2219, 59, 328, 20, 101, 83, 19, 6, 142, 529]"
Please Stay At Home. To encourage the notion of staying at home. All tax-paying citizens are entitled to �305.96 or more emergency refund. smsg.io/fCVbD,"[22, 442, 21, 83, 2, 3327, 4, 4905, 13, 1235, 21, 83, 57, 4906, 4907, 20, 795, 2, 23, 109, 3328, 148, 4908]"
BankOfAmerica Alert 137943. Please follow http://bit.do/cgjK-and re-activate,"[3329, 376, 22, 384, 4909, 711]"
Sorry dude. Dont know how i forgot. Even after Dan reminded me. Sorry. Hope you guys had fun.,"[102, 712, 52, 65, 59, 5, 494, 287, 163, 3330, 4910, 15, 102, 158, 3, 396, 160, 408]"
I don't quite know what to do. I still can't get hold of anyone. I cud pick you up bout 7.30pm and we can see if they're in the pub?,"[5, 52, 482, 65, 61, 2, 38, 5, 107, 141, 35, 245, 13, 796, 5, 2220, 237, 3, 46, 973, 264, 8, 28, 36, 96, 34, 1313, 9, 4, 824]"
Ok lor. Anyway i thk we cant get tickets now cos like quite late already. U wan 2 go look 4 ur frens a not? Darren is wif them now...,"[66, 112, 619, 5, 347, 28, 141, 35, 1153, 24, 239, 68, 482, 301, 192, 11, 309, 54, 443, 42, 1314, 6, 30, 1082, 10, 596, 145, 24]"
Wat r u doing now?,"[185, 108, 11, 186, 24]"
Buy one egg for me da..please:),"[253, 89, 2622, 12, 15, 4911]"
Is there a reason we've not spoken this year? Anyways have a great week and all the best in your exam,"[10, 82, 6, 1083, 866, 30, 2221, 31, 278, 1936, 19, 6, 142, 126, 8, 57, 4, 248, 9, 7, 1154]"
Stop the story. I've told him i've returned it and he's saying i should not re order it.,"[75, 4, 935, 217, 329, 166, 217, 1025, 14, 8, 495, 713, 5, 170, 30, 483, 227, 14]"
No. I dont want to hear anything,"[44, 5, 52, 81, 2, 484, 229]"
"Waqt se pehle or naseeb se zyada kisi ko kuch nahi milta,Zindgi wo nahi he jo hum sochte hai Zindgi wo hai jo ham jeetey hai..........","[4912, 2623, 4913, 23, 4914, 2623, 4915, 4916, 4917, 4918, 3331, 4919, 3332, 3331, 91, 3333, 4920, 4921, 1541, 4922, 3332, 1541, 3333, 4923, 4924, 1541]"
I'm e person who's doing e sms survey...,"[32, 208, 377, 1542, 186, 208, 116, 427]"
Mm i had my food da from out,"[1155, 5, 160, 16, 665, 143, 41, 51]"
"4 tacos + 1 rajas burrito, right?","[3334, 4925, 4926, 168]"
"House-Maid is the murderer, coz the man was murdered on  26th January.. ","[1712, 10, 4, 1543, 825, 4, 397, 60, 1544, 17, 361, 1545]"
Yes! How is a pretty lady like you single?,"[164, 59, 10, 6, 1026, 1713, 68, 3, 1315]"
(That said can you text him one more time?),"[26, 197, 36, 3, 80, 166, 89, 109, 73]"
I know she called me,"[5, 65, 129, 496, 15]"
In sch but neva mind u eat 1st lor..,"[9, 714, 33, 826, 385, 11, 428, 294, 112]"
lyricalladie(21/F) is inviting you to be her friend. Reply YES-910 or NO-910. See her: www.SMS.ac/u/hmmross STOP? Send STOP FRND to 62468,"[3335, 10, 1084, 3, 2, 25, 117, 270, 49, 164, 23, 44, 96, 117, 3336, 75, 84, 75, 827, 2]"
Jay says that you're a double-faggot,"[1156, 577, 26, 271, 6, 4927]"
Ok i thk i got it. Then u wan me 2 come now or wat?,"[66, 5, 347, 5, 72, 14, 55, 11, 309, 15, 77, 24, 23, 185]"
UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403233,"[42, 315, 6, 1429, 828, 8, 183, 205, 6, 974, 453, 1430, 193, 542, 100, 666, 2, 2624, 641]"
"Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow","[246, 41, 578, 12, 797, 45, 362, 2, 667, 559, 8, 1714, 597, 45, 444, 8, 1316, 560, 49, 164, 936, 272, 4928]"
Oh... Lk tt den we take e one tt ends at cine lor... Dun wan yogasana oso can...,"[155, 3337, 2222, 516, 28, 103, 208, 89, 2222, 867, 21, 1546, 112, 316, 309, 1937, 691, 36]"
Whens your radio show?,"[2223, 7, 2224, 497]"
"Jane babes not goin 2 wrk, feel ill after lst nite. Foned in already cover 4 me chuck.:-)","[2225, 1547, 30, 739, 3338, 288, 76, 163, 3339, 543, 4929, 9, 192, 1548, 15, 4930]"
"New Offer! Save upto 40\% electricity bill with Power Saver(GOVT. LAB TESTED), Rs. 1050/-(free home delivery) 3 Yr. Guarantee Call 9891943823,9891943780","[85, 295, 975, 1715, 2625, 485, 27, 1157, 4931, 1938, 2226, 296, 45, 83, 218, 829, 2626, 18]"
What * u wearing?,"[61, 11, 2227]"
o turns out i had stereo love on mi phone under the unknown album.,"[220, 1236, 51, 5, 160, 4932, 87, 17, 2627, 111, 937, 4, 2628, 3340]"
"Ela kano.,il download, come wen ur free..","[3341, 4933, 766, 77, 642, 42, 45]"
"Haha figures, well I found the piece and priscilla's bowl","[353, 3342, 119, 5, 715, 4, 3343, 8, 3344, 2228]"
Can you do online transaction?,"[36, 3, 38, 269, 830]"
Ü neva tell me how i noe... I'm not at home in da aft wat...,"[826, 132, 15, 59, 5, 767, 32, 30, 21, 83, 9, 143, 798, 185]"
	YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a £150 prize. To collect is easy. Just call 09061743386,"[3, 19, 187, 63, 6, 454, 938, 104, 64, 868, 43, 939, 3, 2, 205, 6, 118, 2, 455, 10, 468, 40, 18]"
You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750,"[3, 29, 3345, 7, 337, 201, 4, 230, 341, 12, 936, 8, 1716, 22, 96, 2629, 11, 4934, 1939]"
What you doing?how are you?,"[61, 3, 3346, 20, 3]"
I didn't get the second half of that message,"[5, 196, 35, 4, 740, 378, 13, 26, 106]"
Phony £350 award - Todays Voda numbers ending XXXX are selected to receive a £350 award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app,"[3347, 354, 390, 1237, 620, 716, 1717, 20, 279, 2, 127, 6, 354, 34, 3, 19, 6, 643, 22, 18, 869, 90, 221, 799, 544, 668]"
Can help u swoop by picking u up from wherever ur other birds r meeting if u want.,"[36, 130, 11, 3348, 70, 1027, 11, 46, 41, 1718, 42, 289, 1940, 108, 363, 34, 11, 81]"
Ok lor�whats up�,"[66, 4935, 46]"
Hello madam how are you ?,"[246, 3349, 59, 20, 3]"
Was actually sleeping and still might when u call back. So a text is gr8. You rock sis. Will send u a text wen i wake.,"[60, 498, 800, 8, 107, 469, 56, 11, 18, 101, 37, 6, 80, 10, 831, 3, 1028, 870, 29, 84, 11, 6, 80, 642, 5, 644]"
Good. do you think you could send me some pix? I would love to see your top and bottom...,"[71, 38, 3, 133, 3, 183, 84, 15, 120, 1431, 5, 194, 87, 2, 96, 7, 545, 8, 2630]"
Apple ID: [BUXCX7GBVwWCcOD Final Notification Your Apple 1D is due to expire today. Prevent this by confirming your Apple ID at�http://verifyapple.uk Apple Inc,"[692, 273, 4936, 470, 1029, 7, 692, 161, 10, 67, 2, 2229, 92, 1317, 31, 70, 3350, 7, 692, 273, 4937, 692, 976]"
HEY MATE! HOWS U HONEY?DID U AVE GOOD HOLIDAY? GIMMI DE GOSS!x,"[137, 895, 386, 11, 4938, 11, 1432, 71, 317, 4939, 669, 4940]"
"I don't have anybody's number, I still haven't thought up a tactful way to ask alex","[5, 52, 19, 4941, 110, 5, 107, 348, 342, 46, 6, 4942, 169, 2, 198, 1549]"
"I'm taking derek &amp; taylor to walmart, if I'm not back by the time you're done just leave the mouse on my desk and I'll text you when priscilla's ready","[32, 801, 2230, 290, 3351, 2, 1030, 34, 32, 30, 101, 70, 4, 73, 271, 298, 40, 302, 4, 4943, 17, 16, 4944, 8, 76, 80, 3, 56, 3344, 355]"
Ok..let me knw,"[4945, 15, 768]"
You are a very very very very bad girl. Or lady.,"[3, 20, 6, 231, 231, 231, 231, 517, 499, 23, 1713]"
